"rok","woj","plec","internet_godz","samotnosc","internet_zawodowo"
"2005",2,"mężczyzna",14.0475795751877,0.1684870405753,0.229260520180113
"2005",2,"kobieta",7.51166127807762,0.253285902039874,0.177247041640661
"2005",4,"mężczyzna",12.9563122051812,0.227688355903908,0.109804209083977
"2005",4,"kobieta",10.2463863430509,0.244623487870434,0.117855360504483
"2005",6,"mężczyzna",9.69497173836429,0.207240286716212,0.151462864733121
"2005",6,"kobieta",5.54252026976604,0.310691619741299,0.158376719490456
"2005",8,"mężczyzna",9.41358908803911,0.123677606136438,0.127922704664195
"2005",8,"kobieta",7.15794486200049,0.261568499306162,0.0847909497457939
"2005",10,"mężczyzna",12.1165839971318,0.214100889097482,0.159964192067821
"2005",10,"kobieta",7.26146863477512,0.260441991531786,0.120389663014271
"2005",12,"mężczyzna",10.4885294866537,0.137480785431795,0.24356924409189
"2005",12,"kobieta",5.77318570908062,0.237796719802516,0.165967333569183
"2005",14,"mężczyzna",10.2880450824224,0.180429350577418,0.220751623191893
"2005",14,"kobieta",8.14500825239548,0.281529195446659,0.183696265662545
"2005",16,"mężczyzna",12.5921425935053,0.179759162602637,0.187446664828046
"2005",16,"kobieta",7.26526861937043,0.270264863780571,0.103542467356816
"2005",18,"mężczyzna",10.8325961387584,0.152672057513697,0.104940229289927
"2005",18,"kobieta",7.84048313001882,0.207308401700614,0.086816764726571
"2005",20,"mężczyzna",13.0885970889668,0.166783635229246,0.193414569043485
"2005",20,"kobieta",9.50796322661173,0.251435950384769,0.120998735975699
"2005",22,"mężczyzna",10.9564867240789,0.143827141703081,0.18978071354128
"2005",22,"kobieta",8.67595644939278,0.222084843788559,0.137777390309642
"2005",24,"mężczyzna",12.1905960620222,0.179790565789863,0.180215758743627
"2005",24,"kobieta",10.7212015768019,0.291643395860306,0.136688147028651
"2005",26,"mężczyzna",8.46483080913949,0.211399715417836,0.102274376422659
"2005",26,"kobieta",5.97480985452252,0.29519133053527,0.0756622636830615
"2005",28,"mężczyzna",8.20508852128576,0.201911169181808,0.151636149148066
"2005",28,"kobieta",NA,NA,NA
"2005",30,"mężczyzna",9.5891993231097,0.159589739301101,0.193588020465907
"2005",30,"kobieta",7.9868708372224,0.226098162633816,0.127705857102644
"2005",32,"mężczyzna",14.1761368380837,0.138320735248859,0.17801137105901
"2005",32,"kobieta",7.11778749828548,0.214877651919311,0.111810291148035
"2005",NA,"mężczyzna",5,0,0
"2005",NA,"kobieta",3,0.286461217144298,0
"2007",2,"mężczyzna",13.5567017966947,0.134886474619988,0.201073749058876
"2007",2,"kobieta",8.91951111476663,0.234295650680368,0.231418229160151
"2007",4,"mężczyzna",14.2160374768868,0.154206773700554,0.281442725027625
"2007",4,"kobieta",10.0810256808402,0.217419958922661,0.138156670036527
"2007",6,"mężczyzna",11.1375267391373,0.158192359352388,0.225043529980187
"2007",6,"kobieta",7.27960710811078,0.291023783844443,0.183818630022275
"2007",8,"mężczyzna",12.3259294911088,0.163960005803291,0.23337759747092
"2007",8,"kobieta",8.63496563259524,0.248272074016037,0.221805037266551
"2007",10,"mężczyzna",12.9038622554713,0.199338580161684,0.25538903195429
"2007",10,"kobieta",9.25062809005624,0.249247660835913,0.22932274517044
"2007",12,"mężczyzna",12.8370248228117,0.161863912832975,0.235978690849902
"2007",12,"kobieta",8.65952348187878,0.241459112470094,0.252636465893622
"2007",14,"mężczyzna",14.2419065981556,0.17169137952268,0.309187640904415
"2007",14,"kobieta",10.4074519401367,0.287563509783739,0.266179294410878
"2007",16,"mężczyzna",12.048029356143,0.148121737799421,0.235995783636093
"2007",16,"kobieta",8.96230173450348,0.244844800386481,0.227876889727064
"2007",18,"mężczyzna",11.0894367120283,0.159906997213694,0.202392762107024
"2007",18,"kobieta",8.65741072399105,0.259990333315687,0.211169236031543
"2007",20,"mężczyzna",13.8873109658333,0.215447520887366,0.239188083729599
"2007",20,"kobieta",9.74505886246321,0.210123382895248,0.305575038597343
"2007",22,"mężczyzna",13.0983895110154,0.124799107930867,0.272979730663945
"2007",22,"kobieta",8.0335374007434,0.222996922801895,0.155659425767648
"2007",24,"mężczyzna",13.4781000616979,0.171547288834809,0.977344924049125
"2007",24,"kobieta",9.0935561642434,0.226180366450449,0.959847780898662
"2007",26,"mężczyzna",11.7795200830477,0.225966822566636,0.273302405415518
"2007",26,"kobieta",7.01801736401985,0.272862841692186,0.153089560721431
"2007",28,"mężczyzna",9.82204356426972,0.209847588294242,0.104910472895359
"2007",28,"kobieta",NA,NA,NA
"2007",30,"mężczyzna",11.922787726628,0.144546416641878,0.240569220207414
"2007",30,"kobieta",10.0314920263935,0.199129181049625,0.20691811505417
"2007",32,"mężczyzna",11.0301255739402,0.152467836645752,0.345414736073221
"2007",32,"kobieta",10.1830373784746,0.222092131403389,0.345919763896114
"2007",NA,"kobieta",14,0,1
"2009",2,"mężczyzna",12.7749388911246,0.139151480179664,0.304842358001804
"2009",2,"kobieta",10.5378014386435,0.26242365750035,0.270440340173686
"2009",4,"mężczyzna",13.7819750174382,0.183818977414741,0.309289437217219
"2009",4,"kobieta",9.96272175066174,0.263772065607062,0.255657386091616
"2009",6,"mężczyzna",12.1923654383553,0.189541824377883,0.308941153061396
"2009",6,"kobieta",9.04445467148707,0.261726264834394,0.25211391487048
"2009",8,"mężczyzna",14.2167754366825,0.208319996620947,0.288039540498582
"2009",8,"kobieta",10.3552038473325,0.267497550474335,0.182343247002033
"2009",10,"mężczyzna",11.6912699674767,0.179370216627823,0.227202315777099
